edge_id,node_index,source_node_id,pos_x,pos_y,is_stop_only
S_--153692837#1,0,25579778,7331.1,5374.29,False
E_--153692837#1,1,279014957,7310.71,5310.68,False
S_--457182375#7,2,306261558,5616.53,7570.78,False
E_--457182375#7,3,1416087322,5626.17,7583.78,False
S_-101238042,4,cluster_267380184_267408879,5401.28,4343.85,False
E_-101238042,5,376510027,5368.89,4365.32,False
S_-101430663#10,6,3083025523,2996.33,5154.05,False
E_-101430663#10,7,cluster_1418778002_6351384661,2929.57,5186.4,False
S_-101430663#11,8,cluster_1171127957_1418777918_1418777928_1418777933_4692370514,3003.91,5143.42,False
E_-101430663#11,9,3083025523,2996.33,5154.05,False
S_-101430663#14,10,7429040454,3125.74,5152.78,False
E_-101430663#14,11,cluster_1171127957_1418777918_1418777928_1418777933_4692370514,3003.91,5143.42,False
S_-101430663#15,12,cluster_1418777922_1418777925_243630666,3156.71,5147.7,False
E_-101430663#15,13,7429040454,3125.74,5152.78,False
S_-101430663#16,14,2247427969,3165.46,5136.48,False
E_-101430663#16,15,cluster_1418777922_1418777925_243630666,3156.71,5147.7,False
S_-101430663#17,16,cluster_434068771_434068775,3183.28,5134.65,False
E_-101430663#17,17,2247427969,3165.46,5136.48,False
S_-101430663#18,18,2247427953,3195.73,5123.6,False
E_-101430663#18,19,cluster_434068771_434068775,3183.28,5134.65,False
S_-101430663#19,20,308796554,3303.62,5078.86,False
E_-101430663#19,21,2247427953,3195.73,5123.6,False
S_-101430663#20,22,1171127975,3399.01,5039.47,False
E_-101430663#20,23,308796554,3303.62,5078.86,False
S_-101430663#21,24,cluster_1423242652_1815670962_1815670964_89173763,3548.1,4982.9,False
E_-101430663#21,25,1171127975,3399.01,5039.47,False
S_-101430663#3,26,2230159441,2706.65,5139.64,False
E_-101430663#3,27,cluster_1840155781_1840155805,2663.38,5144.18,False
S_-101430663#4,28,cluster_1840155782_2230159433_2230159603_2230159663_255883346,2716.24,5138.81,False
E_-101430663#4,29,2230159441,2706.65,5139.64,False
S_-101430663#6,30,cluster_1840155787_420022462,2801.81,5156.81,False
E_-101430663#6,31,cluster_1840155782_2230159433_2230159603_2230159663_255883346,2716.24,5138.81,False
S_-101430663#7,32,cluster_1253187031_1418777953_1418777966_255883348_420022461_6351384663,2878.75,5174.35,False
E_-101430663#7,33,cluster_1840155787_420022462,2801.81,5156.81,False
S_-101430663#9,34,cluster_1418778002_6351384661,2929.57,5186.4,False
E_-101430663#9,35,cluster_1253187031_1418777953_1418777966_255883348_420022461_6351384663,2878.75,5174.35,False
S_-101731827#0,36,7628677263,7440.92,2684.96,False
E_-101731827#0,37,1174664646,7449.48,2699.29,False
S_-101731827#1,38,7628677255,7431.75,2670.37,False
E_-101731827#1,39,7628677263,7440.92,2684.96,False
S_-101731827#2,40,7628677264,7416.88,2646.75,False
E_-101731827#2,41,7628677255,7431.75,2670.37,False
S_-101731858,42,1174664088,7409.51,2594.68,False
E_-101731858,43,865007985,7345.82,2591.59,False
S_-102461801,44,cluster_1211777284_292226065,2614.66,5702.08,False
E_-102461801,45,1183322529,2708.18,5593.56,False
S_-102818928#0,46,cluster_2053244661_377117817,5775.42,3726.51,False
E_-102818928#0,47,277739043,5728.04,3683.76,False
S_-102818928#1,48,89129103,5846.58,3824.61,False
E_-102818928#1,49,cluster_2053244661_377117817,5775.42,3726.51,False
S_-103053747,50,287963642,5471.77,4099.16,False
E_-103053747,51,cluster_1189883653_287963641,5441.25,4052.03,False
S_-103053774#0,52,659379987,5570.41,4009.05,False
E_-103053774#0,53,1839751525,5580.85,4024.14,False
S_-103053774#1,54,659379985,5563.1,3996.75,False
E_-103053774#1,55,659379987,5570.41,4009.05,False
S_-103053774#2,56,442337359,5553.36,3980.8,False
E_-103053774#2,57,659379985,5563.1,3996.75,False
S_-103053774#3,58,1189883501,5574.79,3952.07,False
E_-103053774#3,59,442337359,5553.36,3980.8,False
S_-103053774#4,60,659379978,5597.03,3958.15,False
E_-103053774#4,61,1189883501,5574.79,3952.07,False
S_-103053774#5,62,659379976,5610.05,3966.72,False
E_-103053774#5,63,659379978,5597.03,3958.15,False
S_-103053774#6,64,1189883795,5620.99,3971.07,False
E_-103053774#6,65,659379976,5610.05,3966.72,False
S_-103053774#7,66,1691647138,5621.33,3953.6,False
E_-103053774#7,67,1189883795,5620.99,3971.07,False
S_-103053803,68,287963639,5409.28,4072.99,False
E_-103053803,69,288781774,5440.56,4119.77,False
S_-103396186,70,cluster_89129121_89129122,5348.73,4416.8,False
E_-103396186,71,1168659850,5354.09,4393.85,False
S_-103512657,72,1387938805,4895.68,4511.09,False
E_-103512657,73,667791925,4949.11,4498.56,False
S_-103512667#0,74,cluster_89129121_89129122,5348.73,4416.8,False
E_-103512667#0,75,cluster_1195228815_267380165,5292.01,4434.86,False
S_-103512667#2,76,267408878,5384.83,4407.08,False
E_-103512667#2,77,cluster_89129121_89129122,5348.73,4416.8,False
S_-103512672,78,1195228784,5066.57,4397.06,False
E_-103512672,79,7616444537,5157.89,4457.7,False
S_-103671248,80,339222628,5785.55,4319.63,False
E_-103671248,81,1196936357,5796.07,4300.46,False
S_-103671254,82,1196936347,5965.89,5141.06,False
E_-103671254,83,cluster_1196936250_271787328,5954.36,5114.61,False
S_-103671264,84,1501871753,5850.46,6285.48,False
E_-103671264,85,276184126,5889.86,6287.79,False
S_-103671267#0,86,1196936367,5771.79,5230.66,False
E_-103671267#0,87,1196936363,5767.53,5136.33,False
S_-103671267#1,88,1196936319,5769.68,5251.75,False
E_-103671267#1,89,1196936367,5771.79,5230.66,False
S_-103671267#10,90,703495363,5626.32,5237.51,False
E_-103671267#10,91,703495364,5643.16,5239.18,False
S_-103671267#11,92,703495362,5609.53,5235.84,False
E_-103671267#11,93,703495363,5626.32,5237.51,False
S_-103671267#12,94,703495361,5592.11,5234.12,False
E_-103671267#12,95,703495362,5609.53,5235.84,False
S_-103671267#13,96,703495360,5574.54,5232.37,False
E_-103671267#13,97,703495361,5592.11,5234.12,False
S_-103671267#14,98,cluster_289881755_289881758_703495347,5575.23,5137.57,False
E_-103671267#14,99,703495360,5574.54,5232.37,False
S_-103671267#2,100,271780148,5753.03,5250.1,False
E_-103671267#2,101,1196936319,5769.68,5251.75,False
S_-103671267#3,102,969209293,5734.64,5248.27,False
E_-103671267#3,103,271780148,5753.03,5250.1,False
S_-103671267#4,104,969209318,5718.41,5246.66,False
E_-103671267#4,105,969209293,5734.64,5248.27,False
S_-103671267#5,106,969209305,5701.08,5244.94,False
E_-103671267#5,107,969209318,5718.41,5246.66,False
S_-103671267#6,108,969209258,5683.16,5243.16,False
E_-103671267#6,109,969209305,5701.08,5244.94,False
S_-103671267#7,110,cluster_1637111620_289881753,5664.2,5241.27,False
E_-103671267#7,111,969209258,5683.16,5243.16,False
S_-103671267#9,112,703495364,5643.16,5239.18,False
E_-103671267#9,113,cluster_1637111620_289881753,5664.2,5241.27,False
S_-103671270,114,276184126,5889.86,6287.79,False
E_-103671270,115,442327627,5948.14,6305.56,False
S_-103678452,116,1393740659,5325.42,4134.37,False
E_-103678452,117,417797169,5330.57,4126.75,False
S_-103678458#0,118,1393740659,5325.42,4134.37,False
E_-103678458#0,119,1196960056,5322.0,4128.44,False
S_-103678458#1,120,370925063,5331.5,4144.15,False
E_-103678458#1,121,1393740659,5325.42,4134.37,False
S_-103686111#0,122,1197035419,6233.01,3417.52,False
E_-103686111#0,123,314912410,6302.78,3430.01,False
S_-103686111#1,124,cluster_1197035304_1197035464_386797029_7628563995_7628563997_7628563999_7628564001_7628564002_7628564003_7628564004_7628564005_7628564006,6184.17,3400.11,False
E_-103686111#1,125,1197035419,6233.01,3417.52,False
S_-103686113,126,266359526,5894.86,3583.92,False
E_-103686113,127,1197035348,5905.53,3594.54,False
S_-103686114,128,305515147,6311.14,3459.29,False
E_-103686114,129,305515145,6345.33,3436.0,False
S_-103686122,130,305515148,6230.59,3455.97,False
E_-103686122,131,314912398,6215.25,3440.64,False
S_-103686124,132,314912398,6215.25,3440.64,False
E_-103686124,133,1197035419,6233.01,3417.52,False
S_-103686125#0,134,305515148,6230.59,3455.97,False
E_-103686125#0,135,1197035305,6217.01,3465.43,False
S_-103686125#1,136,305515155,6245.84,3453.98,False
E_-103686125#1,137,305515148,6230.59,3455.97,False
S_-103686126,138,314912393,6204.85,3486.56,False
E_-103686126,139,1197035247,6218.06,3494.78,False
S_-103686129#1,140,1197035348,5905.53,3594.54,False
E_-103686129#1,141,cluster_266359527_293187815,6046.31,3723.37,False
S_-103687099#0,142,1197035390,6300.57,3483.09,False
E_-103687099#0,143,305515147,6311.14,3459.29,False
S_-103687101,144,267397016,5872.73,4353.7,False
E_-103687101,145,1196936303,5867.07,4352.01,False
S_-103705136#44,146,2337351212,6912.17,1283.95,False
E_-103705136#44,147,2337351214,6897.42,1310.57,False
